t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
0.0,startup,java,235948,10760,8390,10760,196472,2,0,2436440
1.0,startup,java,235948,148020,144914,148020,4578228,24,225,2317152
2.0,startup,java,235948,251424,247976,251424,4646392,26,448,2205100
3.0,startup,java,235948,504644,501220,504644,4646392,26,764,1943152
4.0,startup,java,235948,569528,566080,569528,4646392,26,1029,1869564
5.0,startup,java,235948,618072,614776,618072,4912652,30,1342,1830768
6.1,startup,java,235948,992464,989344,992464,5046796,33,1673,1454704
7.1,startup,java,235948,1053168,1049720,1053168,5119612,40,2002,1398320
7.1,settle,java,235948,1053168,1049720,1053168,5119612,40,2005,1398320
8.1,settle,java,235948,1053460,1050016,1053460,5119612,39,2262,1397180
9.1,settle,java,235948,1053552,1050104,1053552,5119612,39,2264,1397180
10.1,settle,java,235948,1053612,1050164,1053612,5119612,39,2266,1397296
11.1,settle,java,235948,1053772,1050324,1053772,5119612,39,2268,1397296
12.1,settle,java,235948,1053808,1050360,1053808,5119612,39,2269,1391392
13.2,settle,java,235948,1053948,1050500,1053948,5119612,39,2271,1377780
14.2,settle,java,235948,1053960,1050512,1053960,5119612,39,2273,1377876
15.2,settle,java,235948,1053984,1050536,1053984,5119612,39,2274,1377876
16.2,settle,java,235948,1054136,1050688,1054136,5119612,39,2276,1377188
17.2,settle,java,235948,1054148,1050700,1054148,5119612,39,2277,1377188
18.2,settle,java,235948,1054180,1050732,1054180,5119612,39,2278,1377200
19.2,settle,java,235948,1054196,1050748,1054196,5119612,39,2279,1394500
20.2,settle,java,235948,1054228,1050780,1054228,5119612,38,2280,1393780
21.2,settle,java,235948,1054232,1050784,1054232,5119612,38,2281,1398512
22.3,settle,java,235948,1054252,1050804,1054252,5119612,38,2282,1398568
23.3,settle,java,235948,1054256,1050808,1054256,5119612,38,2282,1404464
24.3,settle,java,235948,1054292,1050844,1054292,5119612,38,2283,1407556
25.3,settle,java,235948,1054296,1050848,1054296,5119612,38,2284,1409252
26.3,settle,java,235948,1054336,1050888,1054336,5119612,38,2285,1409892
27.3,settle,java,235948,1054336,1050888,1054336,5119612,38,2285,1410152
28.3,settle,java,235948,1054336,1050888,1054336,5119612,38,2286,1410156
29.3,settle,java,235948,1054340,1050892,1054340,5119612,38,2287,1410156
30.3,settle,java,235948,1054388,1050940,1054388,5119612,38,2288,1409684
31.4,settle,java,235948,1054388,1050940,1054388,5119612,38,2289,1409684
32.4,settle,java,235948,1054500,1051052,1054500,5119612,38,2290,1413064
33.4,settle,java,235948,1054504,1051056,1054504,5119612,38,2291,1413064
34.4,settle,java,235948,1054504,1051056,1054504,5119612,38,2291,1413072
35.4,settle,java,235948,1054504,1051056,1054504,5119612,38,2292,1413072
36.4,settle,java,235948,1054504,1051056,1054504,5119612,38,2292,1413072
37.4,settle,java,235948,1054552,1051104,1054552,5119612,38,2294,1413072
38.4,settle,java,235948,1054552,1051104,1054552,5119612,38,2294,1413076
39.4,settle,java,235948,1054612,1051164,1054612,5119612,38,2295,1410584
40.5,settle,java,235948,1054616,1051168,1054616,5119612,38,2296,1410584
41.5,settle,java,235948,1054616,1051168,1054616,5119612,38,2296,1410716
42.5,settle,java,235948,1054616,1051168,1054616,5119612,38,2297,1411196
43.5,settle,java,235948,1054616,1051168,1054616,5119612,38,2297,1411204
44.5,settle,java,235948,1054616,1051168,1054616,5119612,38,2297,1411204
45.5,settle,java,235948,1054624,1051176,1054624,5119612,38,2298,1411204
46.5,settle,java,235948,1054628,1051180,1054628,5119612,38,2299,1411204
47.5,settle,java,235948,1054628,1051180,1054628,5119612,38,2299,1411204
48.5,settle,java,235948,1054628,1051180,1054628,5119612,38,2300,1411204
49.6,settle,java,235948,1054628,1051180,1054628,5119612,38,2300,1411212
50.6,settle,java,235948,1054628,1051180,1054628,5119612,38,2300,1411212
51.6,settle,java,235948,1054632,1051184,1054632,5119612,38,2302,1411936
52.6,settle,java,235948,1054632,1051184,1054632,5119612,38,2302,1411876
53.6,settle,java,235948,1054636,1051183,1054636,5119612,38,2303,1411884
54.6,settle,java,235948,1054636,1051183,1054636,5119612,38,2304,1411888
55.6,settle,java,235948,1054636,1051183,1054636,5119612,38,2304,1411888
56.6,settle,java,235948,1054636,1051183,1054636,5119612,38,2304,1411888
57.6,settle,java,235948,1054636,1051183,1054636,5119612,38,2305,1411892
58.7,settle,java,235948,1054636,1051183,1054636,5119612,38,2305,1411892
59.7,settle,java,235948,1054636,1051183,1054636,5119612,38,2306,1411892
60.7,settle,java,235948,1054636,1051183,1054636,5119612,38,2306,1411900
61.7,settle,java,235948,1054572,1051119,1054572,5119612,37,2307,1411900
62.7,settle,java,235948,1054576,1051123,1054576,5119612,37,2308,1411900
63.7,settle,java,235948,1054584,1051131,1054584,5119612,37,2309,1412908
64.7,settle,java,235948,1054584,1051131,1054584,5119612,37,2309,1412908
65.7,settle,java,235948,1054584,1051131,1054584,5119612,37,2309,1412908
66.7,settle,java,235948,1054952,1051499,1054952,5119612,39,2311,1412948
67.8,measure,java,235948,1054952,1051499,1054952,5119612,39,2311,1412984
68.8,measure,java,235948,1054640,1051187,1054640,5119612,36,2312,1412996
69.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2312,1412996
70.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2312,1413000
71.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2312,1413000
72.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2312,1413000
73.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413000
